uuid,timestamp,event,amount_loan,risk_level,assessment
20,2022-11-27 15:17:57,Check application data,70968,,
20,2022-11-27 17:17:57,Extensive Check,,0,
20,2022-11-27 19:17:57,Overall Assessment,,,
20,2022-11-27 21:17:57,Inform Customer,,,
21,2022-12-07 16:49:27,Customer applies for loan,,,
21,2022-12-07 18:49:27,Check application data,99495,,
21,2022-12-07 20:49:27,Extensive Check,,1,
21,2022-12-07 22:49:27,Overall Assessment,,,
21,2022-12-08 00:49:27,Inform Customer,,,
22,2022-12-02 09:03:58,Customer applies for loan,,,
22,2022-12-02 11:03:58,Check application data,20253,,
22,2022-12-02 13:03:58,Normal Check,,1,
22,2022-12-02 15:03:58,Overall Assessment,,,
22,2022-12-02 17:03:58,Inform Customer,,,
23,2022-12-01 14:15:34,Customer applies for loan,,,
23,2022-12-01 16:15:34,Check application data,46758,,
23,2022-12-01 18:15:34,Normal Check,,4,
23,2022-12-01 20:15:34,Overall Assessment,,,
23,2022-12-01 22:15:34,Inform Customer,,,
24,2022-12-04 09:15:47,Customer applies for loan,,,
24,2022-12-04 11:15:47,Check application data,43350,,
24,2022-12-04 13:15:47,Normal Check,,4,
24,2022-12-04 15:15:47,Overall Assessment,,,
24,2022-12-04 17:15:47,Inform Customer,,,
25,2022-12-03 11:36:02,Customer applies for loan,,,
25,2022-12-03 13:36:02,Check application data,26790,,
25,2022-12-03 15:36:02,Normal Check,,4,
25,2022-12-03 17:36:02,Overall Assessment,,,
25,2022-12-03 19:36:02,Inform Customer,,,
26,2022-12-14 15:16:01,Customer applies for loan,,,
26,2022-12-14 17:16:01,Check application data,65495,,
26,2022-12-14 19:16:01,Normal Check,,3,
26,2022-12-14 21:16:01,Overall Assessment,,,
26,2022-12-14 23:16:01,Inform Customer,,,
27,2022-11-28 14:35:26,Customer applies for loan,,,
27,2022-11-28 16:35:26,Check application data,58184,,
27,2022-11-28 18:35:26,Normal Check,,4,
27,2022-11-28 20:35:26,Overall Assessment,,,
27,2022-11-28 22:35:26,Inform Customer,,,
28,2022-12-10 15:02:55,Customer applies for loan,,,
28,2022-12-10 17:02:55,Check application data,69115,,
28,2022-12-10 19:02:55,Normal Check,,3,
28,2022-12-10 21:02:55,Overall Assessment,,,
28,2022-12-10 23:02:55,Inform Customer,,,
29,2022-12-04 15:35:28,Customer applies for loan,,,
29,2022-12-04 17:35:28,Check application data,27398,,
29,2022-12-04 19:35:28,Normal Check,,1,
29,2022-12-04 21:35:28,Overall Assessment,,,
29,2022-12-04 23:35:28,Inform Customer,,,
30,2022-12-11 10:45:27,Customer applies for loan,,,
30,2022-12-11 12:45:27,Check application data,37901,,
30,2022-12-11 14:45:27,Normal Check,,3,
30,2022-12-11 16:45:27,Overall Assessment,,,
30,2022-12-11 18:45:27,Inform Customer,,,
31,2022-12-03 13:54:56,Customer applies for loan,,,
31,2022-12-03 15:54:56,Check application data,36197,,
31,2022-12-03 17:54:56,Normal Check,,2,
31,2022-12-03 19:54:56,Overall Assessment,,,
31,2022-12-03 21:54:56,Inform Customer,,,
32,2022-11-27 17:20:45,Customer applies for loan,,,
32,2022-11-27 19:20:45,Check application data,60017,,
32,2022-11-27 21:20:45,Normal Check,,0,
32,2022-11-27 23:20:45,Overall Assessment,,,
32,2022-11-28 01:20:45,Inform Customer,,,
33,2022-12-07 11:13:21,Customer applies for loan,,,
33,2022-12-07 13:13:21,Check application data,36508,,
33,2022-12-07 15:13:21,Normal Check,,2,
33,2022-12-07 17:13:21,Overall Assessment,,,
33,2022-12-07 19:13:21,Inform Customer,,,
34,2022-12-15 10:18:48,Customer applies for loan,,,
34,2022-12-15 12:18:48,Check application data,17562,,
34,2022-12-15 14:18:48,Normal Check,,2,
34,2022-12-15 16:18:48,Overall Assessment,,,
34,2022-12-15 18:18:48,Inform Customer,,,
35,2022-12-03 12:29:13,Customer applies for loan,,,
35,2022-12-03 14:29:13,Check application data,22176,,
35,2022-12-03 16:29:13,Normal Check,,2,
35,2022-12-03 18:29:13,Overall Assessment,,,
35,2022-12-03 20:29:13,Inform Customer,,,
36,2022-12-14 10:19:52,Customer applies for loan,,,
36,2022-12-14 12:19:52,Check application data,37029,,
36,2022-12-14 14:19:52,Normal Check,,4,
36,2022-12-14 16:19:52,Overall Assessment,,,
36,2022-12-14 18:19:52,Inform Customer,,,
37,2022-12-07 10:37:58,Customer applies for loan,,,
37,2022-12-07 12:37:58,Check application data,50089,,
37,2022-12-07 14:37:58,Normal Check,,0,
37,2022-12-07 16:37:58,Overall Assessment,,,
37,2022-12-07 18:37:58,Inform Customer,,,
38,2022-12-11 16:21:16,Customer applies for loan,,,
38,2022-12-11 18:21:16,Check application data,22163,,
38,2022-12-11 20:21:16,Normal Check,,0,
38,2022-12-11 22:21:16,Overall Assessment,,,
38,2022-12-12 00:21:16,Inform Customer,,,
39,2022-12-08 16:40:39,Customer applies for loan,,,
39,2022-12-08 18:40:39,Check application data,20143,,
39,2022-12-08 20:40:39,Normal Check,,0,
39,2022-12-08 22:40:39,Overall Assessment,,,
39,2022-12-09 00:40:39,Inform Customer,,,
40,2022-12-11 10:08:24,Customer applies for loan,,,
40,2022-12-11 12:08:24,Check application data,53601,,
40,2022-12-11 14:08:24,Normal Check,,4,
40,2022-12-11 16:08:24,Overall Assessment,,,
40,2022-12-11 18:08:24,Inform Customer,,,
41,2022-12-12 11:19:53,Customer applies for loan,,,
41,2022-12-12 13:19:53,Check application data,53968,,
41,2022-12-12 15:19:53,Normal Check,,1,
41,2022-12-12 17:19:53,Overall Assessment,,,
41,2022-12-12 19:19:53,Inform Customer,,,
42,2022-11-26 10:50:57,Customer applies for loan,,,
42,2022-11-26 12:50:57,Check application data,92876,,
42,2022-11-26 14:50:57,Extensive Check,,2,
42,2022-11-26 16:50:57,Overall Assessment,,,
42,2022-11-26 18:50:57,Inform Customer,,,
43,2022-12-06 11:34:19,Customer applies for loan,,,
43,2022-12-06 13:34:19,Check application data,6274,,
43,2022-12-06 15:34:19,Normal Check,,4,
43,2022-12-06 17:34:19,Overall Assessment,,,
43,2022-12-06 19:34:19,Inform Customer,,,
44,2022-12-08 15:30:12,Customer applies for loan,,,
44,2022-12-08 17:30:12,Check application data,26066,,
44,2022-12-08 19:30:12,Normal Check,,2,
44,2022-12-08 21:30:12,Overall Assessment,,,
44,2022-12-08 23:30:12,Inform Customer,,,
45,2022-11-28 12:49:17,Customer applies for loan,,,
45,2022-11-28 14:49:17,Check application data,78495,,
45,2022-11-28 16:49:17,Extensive Check,,1,
45,2022-11-28 18:49:17,Overall Assessment,,,
45,2022-11-28 20:49:17,Inform Customer,,,
46,2022-12-03 15:51:21,Customer applies for loan,,,
46,2022-12-03 17:51:21,Check application data,60295,,
46,2022-12-03 19:51:21,Normal Check,,1,
46,2022-12-03 21:51:21,Overall Assessment,,,
46,2022-12-03 23:51:21,Inform Customer,,,
47,2022-11-28 09:37:42,Customer applies for loan,,,
47,2022-11-28 11:37:42,Check application data,16193,,
47,2022-11-28 13:37:42,Normal Check,,3,
47,2022-11-28 15:37:42,Overall Assessment,,,
47,2022-11-28 17:37:42,Inform Customer,,,
48,2022-11-29 15:58:19,Customer applies for loan,,,
48,2022-11-29 17:58:19,Check application data,97865,,
48,2022-11-29 19:58:19,Extensive Check,,4,
48,2022-11-29 21:58:19,Overall Assessment,,,
48,2022-11-29 23:58:19,Inform Customer,,,
49,2022-11-29 17:05:03,Customer applies for loan,,,
49,2022-11-29 19:05:03,Check application data,90089,,
49,2022-11-29 21:05:03,Extensive Check,,3,
49,2022-11-29 23:05:03,Overall Assessment,,,
49,2022-11-30 01:05:03,Inform Customer,,,
50,2022-12-07 11:41:33,Customer applies for loan,,,
50,2022-12-07 13:41:33,Check application data,20918,,
50,2022-12-07 15:41:33,Normal Check,,3,
50,2022-12-07 17:41:33,Overall Assessment,,,
50,2022-12-07 19:41:33,Inform Customer,,,
51,2022-12-13 10:45:35,Customer applies for loan,,,
51,2022-12-13 12:45:35,Check application data,45844,,
51,2022-12-13 14:45:35,Normal Check,,0,
51,2022-12-13 16:45:35,Overall Assessment,,,
51,2022-12-13 18:45:35,Inform Customer,,,
52,2022-12-08 15:50:01,Customer applies for loan,,,
52,2022-12-08 17:50:01,Check application data,97029,,
52,2022-12-08 19:50:01,Extensive Check,,2,
52,2022-12-08 21:50:01,Overall Assessment,,,
52,2022-12-08 23:50:01,Inform Customer,,,
53,2022-12-10 18:31:03,Customer applies for loan,,,
53,2022-12-10 20:31:03,Check application data,43739,,
53,2022-12-10 22:31:03,Normal Check,,3,
53,2022-12-11 00:31:03,Overall Assessment,,,
53,2022-12-11 02:31:03,Inform Customer,,,
54,2022-12-07 17:27:17,Customer applies for loan,,,
54,2022-12-07 19:27:17,Check application data,51606,,
54,2022-12-07 21:27:17,Normal Check,,0,
54,2022-12-07 23:27:17,Overall Assessment,,,
54,2022-12-08 01:27:17,Inform Customer,,,
55,2022-12-09 13:45:21,Customer applies for loan,,,
55,2022-12-09 15:45:21,Check application data,36351,,
55,2022-12-09 17:45:21,Normal Check,,1,
55,2022-12-09 19:45:21,Overall Assessment,,,
55,2022-12-09 21:45:21,Inform Customer,,,
56,2022-12-15 08:26:11,Customer applies for loan,,,
56,2022-12-15 10:26:11,Check application data,98540,,
56,2022-12-15 12:26:11,Extensive Check,,0,
56,2022-12-15 14:26:11,Overall Assessment,,,
56,2022-12-15 16:26:11,Inform Customer,,,
57,2022-12-01 15:07:59,Customer applies for loan,,,
57,2022-12-01 17:07:59,Check application data,68884,,
57,2022-12-01 19:07:59,Normal Check,,2,
57,2022-12-01 21:07:59,Overall Assessment,,,
57,2022-12-01 23:07:59,Inform Customer,,,
58,2022-12-03 08:11:50,Customer applies for loan,,,
58,2022-12-03 10:11:50,Check application data,39724,,
58,2022-12-03 12:11:50,Normal Check,,3,
58,2022-12-03 14:11:50,Overall Assessment,,,
58,2022-12-03 16:11:50,Inform Customer,,,
59,2022-11-26 08:19:39,Customer applies for loan,,,
59,2022-11-26 10:19:39,Check application data,20356,,
59,2022-11-26 12:19:39,Normal Check,,1,
59,2022-11-26 14:19:39,Overall Assessment,,,
59,2022-11-26 16:19:39,Inform Customer,,,
60,2022-12-04 15:17:32,Customer applies for loan,,,
60,2022-12-04 17:17:32,Check application data,74739,,
60,2022-12-04 19:17:32,Extensive Check,,1,
60,2022-12-04 21:17:32,Overall Assessment,,,
60,2022-12-04 23:17:32,Inform Customer,,,
61,2022-12-04 14:26:23,Customer applies for loan,,,
61,2022-12-04 16:26:23,Check application data,91148,,
61,2022-12-04 18:26:23,Extensive Check,,0,
61,2022-12-04 20:26:23,Overall Assessment,,,
61,2022-12-04 22:26:23,Inform Customer,,,
62,2022-11-30 17:08:13,Customer applies for loan,,,
62,2022-11-30 19:08:13,Check application data,66602,,
62,2022-11-30 21:08:13,Normal Check,,4,
62,2022-11-30 23:08:13,Overall Assessment,,,
62,2022-12-01 01:08:13,Inform Customer,,,
63,2022-12-12 09:41:44,Customer applies for loan,,,
63,2022-12-12 11:41:44,Check application data,46633,,
63,2022-12-12 13:41:44,Normal Check,,0,
63,2022-12-12 15:41:44,Overall Assessment,,,
63,2022-12-12 17:41:44,Inform Customer,,,
64,2022-11-26 09:26:49,Customer applies for loan,,,
64,2022-11-26 11:26:49,Check application data,11447,,
64,2022-11-26 13:26:49,Normal Check,,1,
64,2022-11-26 15:26:49,Overall Assessment,,,
64,2022-11-26 17:26:49,Inform Customer,,,
65,2022-12-15 08:38:22,Customer applies for loan,,,
65,2022-12-15 10:38:22,Check application data,71696,,
65,2022-12-15 12:38:22,Extensive Check,,4,
65,2022-12-15 14:38:22,Overall Assessment,,,
65,2022-12-15 16:38:22,Inform Customer,,,
66,2022-11-29 10:02:14,Customer applies for loan,,,
66,2022-11-29 12:02:14,Check application data,19367,,
66,2022-11-29 14:02:14,Normal Check,,3,
66,2022-11-29 16:02:14,Overall Assessment,,,
66,2022-11-29 18:02:14,Inform Customer,,,
67,2022-12-08 09:09:52,Customer applies for loan,,,
67,2022-12-08 11:09:52,Check application data,76242,,
67,2022-12-08 13:09:52,Extensive Check,,1,
67,2022-12-08 15:09:52,Overall Assessment,,,
67,2022-12-08 17:09:52,Inform Customer,,,
68,2022-12-01 09:27:44,Customer applies for loan,,,
68,2022-12-01 11:27:44,Check application data,79836,,
68,2022-12-01 13:27:44,Extensive Check,,1,
68,2022-12-01 15:27:44,Overall Assessment,,,
68,2022-12-01 17:27:44,Inform Customer,,,
69,2022-11-27 11:08:25,Customer applies for loan,,,
69,2022-11-27 13:08:25,Check application data,77519,,
69,2022-11-27 15:08:25,Extensive Check,,3,
69,2022-11-27 17:08:25,Overall Assessment,,,
69,2022-11-27 19:08:25,Inform Customer,,,
70,2022-12-11 18:08:36,Customer applies for loan,,,
70,2022-12-11 20:08:36,Check application data,26133,,
70,2022-12-11 22:08:36,Normal Check,,2,
70,2022-12-12 00:08:36,Overall Assessment,,,
70,2022-12-12 02:08:36,Inform Customer,,,
71,2022-11-27 10:22:44,Customer applies for loan,,,
71,2022-11-27 12:22:44,Check application data,29327,,
71,2022-11-27 14:22:44,Normal Check,,2,
71,2022-11-27 16:22:44,Overall Assessment,,,
71,2022-11-27 18:22:44,Inform Customer,,,
72,2022-12-04 11:51:03,Customer applies for loan,,,
72,2022-12-04 13:51:03,Check application data,6762,,
72,2022-12-04 15:51:03,Normal Check,,2,
72,2022-12-04 17:51:03,Overall Assessment,,,
72,2022-12-04 19:51:03,Inform Customer,,,
73,2022-12-01 10:19:56,Customer applies for loan,,,
73,2022-12-01 12:19:56,Check application data,37313,,
73,2022-12-01 14:19:56,Normal Check,,3,
73,2022-12-01 16:19:56,Overall Assessment,,,
73,2022-12-01 18:19:56,Inform Customer,,,
74,2022-11-26 17:51:25,Customer applies for loan,,,
74,2022-11-26 19:51:25,Check application data,98231,,
74,2022-11-26 21:51:25,Extensive Check,,3,
74,2022-11-26 23:51:25,Overall Assessment,,,
74,2022-11-27 01:51:25,Inform Customer,,,
75,2022-12-10 09:58:27,Customer applies for loan,,,
75,2022-12-10 11:58:27,Check application data,31526,,
75,2022-12-10 13:58:27,Normal Check,,1,
75,2022-12-10 15:58:27,Overall Assessment,,,
75,2022-12-10 17:58:27,Inform Customer,,,
76,2022-12-03 11:02:38,Customer applies for loan,,,
76,2022-12-03 13:02:38,Check application data,53771,,
76,2022-12-03 15:02:38,Normal Check,,4,
76,2022-12-03 17:02:38,Overall Assessment,,,
76,2022-12-03 19:02:38,Inform Customer,,,
77,2022-12-15 15:15:31,Customer applies for loan,,,
77,2022-12-15 17:15:31,Check application data,59355,,
77,2022-12-15 19:15:31,Normal Check,,3,
77,2022-12-15 21:15:31,Overall Assessment,,,
77,2022-12-15 23:15:31,Inform Customer,,,
78,2022-12-03 13:45:28,Customer applies for loan,,,
78,2022-12-03 15:45:28,Check application data,26033,,
78,2022-12-03 17:45:28,Normal Check,,0,
78,2022-12-03 19:45:28,Overall Assessment,,,
78,2022-12-03 21:45:28,Inform Customer,,,
79,2022-12-09 14:26:52,Customer applies for loan,,,
79,2022-12-09 16:26:52,Check application data,94662,,
79,2022-12-09 18:26:52,Extensive Check,,4,
79,2022-12-09 20:26:52,Overall Assessment,,,
79,2022-12-09 22:26:52,Inform Customer,,,
80,2022-12-02 17:48:02,Customer applies for loan,,,
80,2022-12-02 19:48:02,Check application data,79987,,
80,2022-12-02 21:48:02,Extensive Check,,4,
80,2022-12-02 23:48:02,Overall Assessment,,,
80,2022-12-03 01:48:02,Inform Customer,,,
81,2022-11-27 10:54:16,Customer applies for loan,,,
81,2022-11-27 12:54:16,Check application data,89629,,
81,2022-11-27 14:54:16,Extensive Check,,4,
81,2022-11-27 16:54:16,Overall Assessment,,,
81,2022-11-27 18:54:16,Inform Customer,,,
82,2022-12-09 13:46:52,Customer applies for loan,,,
82,2022-12-09 15:46:52,Check application data,55767,,
82,2022-12-09 17:46:52,Normal Check,,2,
82,2022-12-09 19:46:52,Overall Assessment,,,
82,2022-12-09 21:46:52,Inform Customer,,,
83,2022-12-04 09:03:58,Customer applies for loan,,,
83,2022-12-04 11:03:58,Check application data,41876,,
83,2022-12-04 13:03:58,Normal Check,,0,
83,2022-12-04 15:03:58,Overall Assessment,,,
83,2022-12-04 17:03:58,Inform Customer,,,
84,2022-12-11 13:23:44,Customer applies for loan,,,
84,2022-12-11 15:23:44,Check application data,98762,,
84,2022-12-11 17:23:44,Extensive Check,,0,
84,2022-12-11 19:23:44,Overall Assessment,,,
84,2022-12-11 21:23:44,Inform Customer,,,
85,2022-12-14 09:47:56,Customer applies for loan,,,
85,2022-12-14 11:47:56,Check application data,29598,,
85,2022-12-14 13:47:56,Normal Check,,3,
85,2022-12-14 15:47:56,Overall Assessment,,,
85,2022-12-14 17:47:56,Inform Customer,,,
86,2022-11-27 18:10:15,Customer applies for loan,,,
86,2022-11-27 20:10:15,Check application data,35983,,
86,2022-11-27 22:10:15,Normal Check,,1,
86,2022-11-28 00:10:15,Overall Assessment,,,
86,2022-11-28 02:10:15,Inform Customer,,,
87,2022-12-09 08:57:27,Customer applies for loan,,,
87,2022-12-09 10:57:27,Check application data,88434,,
87,2022-12-09 12:57:27,Extensive Check,,3,
87,2022-12-09 14:57:27,Overall Assessment,,,
87,2022-12-09 16:57:27,Inform Customer,,,
88,2022-11-28 16:57:14,Customer applies for loan,,,
88,2022-11-28 18:57:14,Check application data,72367,,
88,2022-11-28 20:57:14,Extensive Check,,0,
88,2022-11-28 22:57:14,Overall Assessment,,,
88,2022-11-29 00:57:14,Inform Customer,,,
89,2022-12-09 15:45:25,Customer applies for loan,,,
89,2022-12-09 17:45:25,Check application data,11163,,
89,2022-12-09 19:45:25,Normal Check,,0,
89,2022-12-09 21:45:25,Overall Assessment,,,
89,2022-12-09 23:45:25,Inform Customer,,,
90,2022-12-05 12:41:47,Customer applies for loan,,,
90,2022-12-05 14:41:47,Check application data,6780,,
90,2022-12-05 16:41:47,Normal Check,,4,
90,2022-12-05 18:41:47,Overall Assessment,,,
90,2022-12-05 20:41:47,Inform Customer,,,
91,2022-11-27 18:16:43,Customer applies for loan,,,
91,2022-11-27 20:16:43,Check application data,32586,,
91,2022-11-27 22:16:43,Normal Check,,4,
91,2022-11-28 00:16:43,Overall Assessment,,,
91,2022-11-28 02:16:43,Inform Customer,,,
92,2022-12-09 09:59:23,Customer applies for loan,,,
92,2022-12-09 11:59:23,Check application data,29860,,
92,2022-12-09 13:59:23,Normal Check,,3,
92,2022-12-09 15:59:23,Overall Assessment,,,
92,2022-12-09 17:59:23,Inform Customer,,,
93,2022-12-13 14:17:24,Customer applies for loan,,,
93,2022-12-13 16:17:24,Check application data,62810,,
93,2022-12-13 18:17:24,Normal Check,,0,
93,2022-12-13 20:17:24,Overall Assessment,,,
93,2022-12-13 22:17:24,Inform Customer,,,
94,2022-12-02 13:47:03,Customer applies for loan,,,
94,2022-12-02 15:47:03,Check application data,41749,,
94,2022-12-02 17:47:03,Normal Check,,0,
94,2022-12-02 19:47:03,Overall Assessment,,,
94,2022-12-02 21:47:03,Inform Customer,,,
95,2022-11-27 13:23:29,Customer applies for loan,,,
95,2022-11-27 15:23:29,Check application data,72155,,
95,2022-11-27 17:23:29,Extensive Check,,3,
95,2022-11-27 19:23:29,Overall Assessment,,,
95,2022-11-27 21:23:29,Inform Customer,,,
96,2022-12-13 16:26:51,Customer applies for loan,,,
96,2022-12-13 18:26:51,Check application data,18034,,
96,2022-12-13 20:26:51,Normal Check,,1,
96,2022-12-13 22:26:51,Overall Assessment,,,
96,2022-12-14 00:26:51,Inform Customer,,,
97,2022-11-29 16:17:23,Customer applies for loan,,,
97,2022-11-29 18:17:23,Check application data,92877,,
97,2022-11-29 20:17:23,Extensive Check,,4,
97,2022-11-29 22:17:23,Overall Assessment,,,
97,2022-11-30 00:17:23,Inform Customer,,,
98,2022-12-10 08:20:26,Customer applies for loan,,,
98,2022-12-10 10:20:26,Check application data,94034,,
98,2022-12-10 12:20:26,Extensive Check,,0,
98,2022-12-10 14:20:26,Overall Assessment,,,
98,2022-12-10 16:20:26,Inform Customer,,,
99,2022-12-12 17:58:32,Customer applies for loan,,,
99,2022-12-12 19:58:32,Check application data,12297,,
99,2022-12-12 21:58:32,Normal Check,,0,
99,2022-12-12 23:58:32,Overall Assessment,,,
99,2022-12-13 01:58:32,Inform Customer,,,
100,2022-12-02 15:24:44,Customer applies for loan,,,
100,2022-12-02 17:24:44,Check application data,58653,,
100,2022-12-02 19:24:44,Normal Check,,1,
100,2022-12-02 21:24:44,Overall Assessment,,,
100,2022-12-02 23:24:44,Inform Customer,,,
101,2022-12-10 10:10:40,Customer applies for loan,,,
101,2022-12-10 12:10:40,Check application data,13879,,
101,2022-12-10 14:10:40,Normal Check,,3,
101,2022-12-10 16:10:40,Overall Assessment,,,
101,2022-12-10 18:10:40,Inform Customer,,,
102,2022-12-10 18:04:29,Customer applies for loan,,,
102,2022-12-10 20:04:29,Check application data,56267,,
102,2022-12-10 22:04:29,Normal Check,,0,
102,2022-12-11 00:04:29,Overall Assessment,,,
102,2022-12-11 02:04:29,Inform Customer,,,
103,2022-11-26 14:58:06,Customer applies for loan,,,
103,2022-11-26 16:58:06,Check application data,41378,,
103,2022-11-26 18:58:06,Normal Check,,3,
103,2022-11-26 20:58:06,Overall Assessment,,,
103,2022-11-26 22:58:06,Inform Customer,,,
104,2022-11-29 12:15:22,Customer applies for loan,,,
104,2022-11-29 14:15:22,Check application data,11637,,
104,2022-11-29 16:15:22,Normal Check,,1,
104,2022-11-29 18:15:22,Overall Assessment,,,
104,2022-11-29 20:15:22,Inform Customer,,,
105,2022-12-01 14:14:23,Customer applies for loan,,,
105,2022-12-01 16:14:23,Check application data,58373,,
105,2022-12-01 18:14:23,Normal Check,,4,
105,2022-12-01 20:14:23,Overall Assessment,,,
105,2022-12-01 22:14:23,Inform Customer,,,
106,2022-11-28 18:36:05,Customer applies for loan,,,
106,2022-11-28 20:36:05,Check application data,67063,,
106,2022-11-28 22:36:05,Normal Check,,2,
106,2022-11-29 00:36:05,Overall Assessment,,,
106,2022-11-29 02:36:05,Inform Customer,,,
107,2022-12-10 12:11:06,Customer applies for loan,,,
107,2022-12-10 14:11:06,Check application data,16230,,
107,2022-12-10 16:11:06,Normal Check,,1,
107,2022-12-10 18:11:06,Overall Assessment,,,
107,2022-12-10 20:11:06,Inform Customer,,,
108,2022-11-29 09:12:40,Customer applies for loan,,,
108,2022-11-29 11:12:40,Check application data,21714,,
108,2022-11-29 13:12:40,Normal Check,,4,
108,2022-11-29 15:12:40,Overall Assessment,,,
108,2022-11-29 17:12:40,Inform Customer,,,
109,2022-11-28 18:14:41,Customer applies for loan,,,
109,2022-11-28 20:14:41,Check application data,42262,,
109,2022-11-28 22:14:41,Normal Check,,4,
109,2022-11-29 00:14:41,Overall Assessment,,,
109,2022-11-29 02:14:41,Inform Customer,,,
110,2022-12-03 16:52:12,Customer applies for loan,,,
110,2022-12-03 18:52:12,Check application data,50245,,
110,2022-12-03 20:52:12,Normal Check,,2,
