uuid,timestamp,event,amount_loan,risk_level,assessment,income
12,2022-12-13 00:19:05,Overall Assessment,,,,
12,2022-12-13 02:19:05,Inform Customer,,,,
13,2022-11-29 13:09:53,Customer applies for loan,,,,
13,2022-11-29 15:09:53,Check application data,76469,,,1071
13,2022-11-29 17:09:53,Normal Check,,2,,
13,2022-11-29 19:09:53,Overall Assessment,,,,
13,2022-11-29 21:09:53,Inform Customer,,,,
14,2022-11-28 11:21:40,Customer applies for loan,,,,
14,2022-11-28 13:21:40,Check application data,60306,,,2004
14,2022-11-28 15:21:40,Normal Check,,2,,
14,2022-11-28 17:21:40,Overall Assessment,,,,
14,2022-11-28 19:21:40,Inform Customer,,,,
15,2022-11-27 10:22:24,Customer applies for loan,,,,
15,2022-11-27 12:22:24,Check application data,76374,,,4809
15,2022-11-27 14:22:24,Normal Check,,2,,
15,2022-11-27 16:22:24,Overall Assessment,,,,
15,2022-11-27 18:22:24,Inform Customer,,,,
16,2022-12-08 09:29:50,Customer applies for loan,,,,
16,2022-12-08 11:29:50,Check application data,17976,,,9489
16,2022-12-08 13:29:50,Normal Check,,1,,
16,2022-12-08 15:29:50,Overall Assessment,,,,
16,2022-12-08 17:29:50,Inform Customer,,,,
17,2022-11-30 10:47:17,Customer applies for loan,,,,
17,2022-11-30 12:47:17,Check application data,61572,,,6228
17,2022-11-30 14:47:17,Normal Check,,2,,
17,2022-11-30 16:47:17,Overall Assessment,,,,
17,2022-11-30 18:47:17,Inform Customer,,,,
18,2022-11-26 15:18:15,Customer applies for loan,,,,
18,2022-11-26 17:18:15,Check application data,46702,,,6289
18,2022-11-26 19:18:15,Normal Check,,1,,
18,2022-11-26 21:18:15,Overall Assessment,,,,
18,2022-11-26 23:18:15,Inform Customer,,,,
19,2022-12-05 13:36:34,Customer applies for loan,,,,
19,2022-12-05 15:36:34,Check application data,44560,,,9652
19,2022-12-05 17:36:34,Normal Check,,4,,
19,2022-12-05 19:36:34,Overall Assessment,,,,
19,2022-12-05 21:36:34,Inform Customer,,,,
20,2022-12-08 13:01:52,Customer applies for loan,,,,
20,2022-12-08 15:01:52,Check application data,91136,,,3653
20,2022-12-08 17:01:52,Extensive Check,,4,,
20,2022-12-08 19:01:52,Overall Assessment,,,,
20,2022-12-08 21:01:52,Inform Customer,,,,
21,2022-12-08 17:02:07,Customer applies for loan,,,,
21,2022-12-08 19:02:07,Check application data,42684,,,9229
21,2022-12-08 21:02:07,Normal Check,,1,,
21,2022-12-08 23:02:07,Overall Assessment,,,,
21,2022-12-09 01:02:07,Inform Customer,,,,
22,2022-12-04 16:43:26,Customer applies for loan,,,,
22,2022-12-04 18:43:26,Check application data,66928,,,3683
22,2022-12-04 20:43:26,Normal Check,,2,,
22,2022-12-04 22:43:26,Overall Assessment,,,,
22,2022-12-05 00:43:26,Inform Customer,,,,
23,2022-12-02 09:13:00,Customer applies for loan,,,,
23,2022-12-02 11:13:00,Check application data,73815,,,3978
23,2022-12-02 13:13:00,Normal Check,,2,,
23,2022-12-02 15:13:00,Overall Assessment,,,,
23,2022-12-02 17:13:00,Inform Customer,,,,
24,2022-12-01 12:44:34,Customer applies for loan,,,,
24,2022-12-01 14:44:34,Check application data,70375,,,9357
24,2022-12-01 16:44:34,Normal Check,,4,,
24,2022-12-01 18:44:34,Overall Assessment,,,,
24,2022-12-01 20:44:34,Inform Customer,,,,
25,2022-12-10 18:30:05,Customer applies for loan,,,,
25,2022-12-10 20:30:05,Check application data,91444,,,5399
25,2022-12-10 22:30:05,Extensive Check,,4,,
25,2022-12-11 00:30:05,Overall Assessment,,,,
25,2022-12-11 02:30:05,Inform Customer,,,,
26,2022-12-04 14:11:09,Customer applies for loan,,,,
26,2022-12-04 16:11:09,Check application data,72446,,,6179
26,2022-12-04 18:11:09,Normal Check,,0,,
26,2022-12-04 20:11:09,Overall Assessment,,,,
26,2022-12-04 22:11:09,Inform Customer,,,,
27,2022-12-02 11:49:43,Customer applies for loan,,,,
27,2022-12-02 13:49:43,Check application data,58688,,,5135
27,2022-12-02 15:49:43,Normal Check,,2,,
27,2022-12-02 17:49:43,Overall Assessment,,,,
27,2022-12-02 19:49:43,Inform Customer,,,,
28,2022-12-01 09:43:42,Customer applies for loan,,,,
28,2022-12-01 11:43:42,Check application data,98690,,,3609
28,2022-12-01 13:43:42,Extensive Check,,1,,
28,2022-12-01 15:43:42,Overall Assessment,,,,
28,2022-12-01 17:43:42,Inform Customer,,,,
29,2022-11-27 13:11:16,Customer applies for loan,,,,
29,2022-11-27 15:11:16,Check application data,28178,,,6840
29,2022-11-27 17:11:16,Normal Check,,2,,
29,2022-11-27 19:11:16,Overall Assessment,,,,
29,2022-11-27 21:11:16,Inform Customer,,,,
30,2022-12-12 18:18:58,Customer applies for loan,,,,
30,2022-12-12 20:18:58,Check application data,31700,,,4481
30,2022-12-12 22:18:58,Normal Check,,3,,
30,2022-12-13 00:18:58,Overall Assessment,,,,
30,2022-12-13 02:18:58,Inform Customer,,,,
31,2022-11-30 17:45:56,Customer applies for loan,,,,
31,2022-11-30 19:45:56,Check application data,82307,,,5332
31,2022-11-30 21:45:56,Extensive Check,,1,,
31,2022-11-30 23:45:56,Overall Assessment,,,,
31,2022-12-01 01:45:56,Inform Customer,,,,
32,2022-12-07 13:57:39,Customer applies for loan,,,,
32,2022-12-07 15:57:39,Check application data,59926,,,8922
32,2022-12-07 17:57:39,Normal Check,,0,,
32,2022-12-07 19:57:39,Overall Assessment,,,,
32,2022-12-07 21:57:39,Inform Customer,,,,
33,2022-11-28 18:29:11,Customer applies for loan,,,,
33,2022-11-28 20:29:11,Check application data,41607,,,5603
33,2022-11-28 22:29:11,Normal Check,,1,,
33,2022-11-29 00:29:11,Overall Assessment,,,,
33,2022-11-29 02:29:11,Inform Customer,,,,
34,2022-11-28 08:31:36,Customer applies for loan,,,,
34,2022-11-28 10:31:36,Check application data,64467,,,8544
34,2022-11-28 12:31:36,Normal Check,,3,,
34,2022-11-28 14:31:36,Overall Assessment,,,,
34,2022-11-28 16:31:36,Inform Customer,,,,
35,2022-12-10 14:45:52,Customer applies for loan,,,,
35,2022-12-10 16:45:52,Check application data,84019,,,6547
35,2022-12-10 18:45:52,Extensive Check,,0,,
35,2022-12-10 20:45:52,Overall Assessment,,,,
35,2022-12-10 22:45:52,Inform Customer,,,,
36,2022-11-28 18:09:32,Customer applies for loan,,,,
36,2022-11-28 20:09:32,Check application data,51253,,,4824
36,2022-11-28 22:09:32,Normal Check,,3,,
36,2022-11-29 00:09:32,Overall Assessment,,,,
36,2022-11-29 02:09:32,Inform Customer,,,,
37,2022-12-03 15:16:17,Customer applies for loan,,,,
37,2022-12-03 17:16:17,Check application data,58373,,,6002
37,2022-12-03 19:16:17,Normal Check,,4,,
37,2022-12-03 21:16:17,Overall Assessment,,,,
37,2022-12-03 23:16:17,Inform Customer,,,,
38,2022-12-12 11:45:36,Customer applies for loan,,,,
38,2022-12-12 13:45:36,Check application data,33213,,,4585
38,2022-12-12 15:45:36,Normal Check,,3,,
38,2022-12-12 17:45:36,Overall Assessment,,,,
38,2022-12-12 19:45:36,Inform Customer,,,,
39,2022-12-14 15:00:11,Customer applies for loan,,,,
39,2022-12-14 17:00:11,Check application data,62985,,,1119
39,2022-12-14 19:00:11,Normal Check,,2,,
39,2022-12-14 21:00:11,Overall Assessment,,,,
39,2022-12-14 23:00:11,Inform Customer,,,,
40,2022-12-04 18:02:28,Customer applies for loan,,,,
40,2022-12-04 20:02:28,Check application data,76718,,,9613
40,2022-12-04 22:02:28,Normal Check,,2,,
40,2022-12-05 00:02:28,Overall Assessment,,,,
40,2022-12-05 02:02:28,Inform Customer,,,,
41,2022-11-30 14:40:31,Customer applies for loan,,,,
41,2022-11-30 16:40:31,Check application data,46226,,,7605
41,2022-11-30 18:40:31,Normal Check,,1,,
41,2022-11-30 20:40:31,Overall Assessment,,,,
41,2022-11-30 22:40:31,Inform Customer,,,,
42,2022-12-04 14:00:01,Customer applies for loan,,,,
42,2022-12-04 16:00:01,Check application data,26582,,,3499
42,2022-12-04 18:00:01,Normal Check,,0,,
42,2022-12-04 20:00:01,Overall Assessment,,,,
42,2022-12-04 22:00:01,Inform Customer,,,,
43,2022-11-27 12:51:19,Customer applies for loan,,,,
43,2022-11-27 14:51:19,Check application data,84270,,,7619
43,2022-11-27 16:51:19,Extensive Check,,1,,
43,2022-11-27 18:51:19,Overall Assessment,,,,
43,2022-11-27 20:51:19,Inform Customer,,,,
44,2022-12-09 11:04:16,Customer applies for loan,,,,
44,2022-12-09 13:04:16,Check application data,82872,,,3961
44,2022-12-09 15:04:16,Extensive Check,,4,,
44,2022-12-09 17:04:16,Overall Assessment,,,,
44,2022-12-09 19:04:16,Inform Customer,,,,
45,2022-12-01 15:49:14,Customer applies for loan,,,,
45,2022-12-01 17:49:14,Check application data,98915,,,3278
45,2022-12-01 19:49:14,Extensive Check,,3,,
45,2022-12-01 21:49:14,Overall Assessment,,,,
45,2022-12-01 23:49:14,Inform Customer,,,,
46,2022-11-26 11:22:47,Customer applies for loan,,,,
46,2022-11-26 13:22:47,Check application data,75539,,,6661
46,2022-11-26 15:22:47,Normal Check,,1,,
46,2022-11-26 17:22:47,Overall Assessment,,,,
46,2022-11-26 19:22:47,Inform Customer,,,,
47,2022-12-11 16:22:11,Customer applies for loan,,,,
47,2022-12-11 18:22:11,Check application data,15086,,,7830
47,2022-12-11 20:22:11,Normal Check,,3,,
47,2022-12-11 22:22:11,Overall Assessment,,,,
47,2022-12-12 00:22:11,Inform Customer,,,,
48,2022-12-08 10:00:17,Customer applies for loan,,,,
48,2022-12-08 12:00:17,Check application data,71613,,,5667
48,2022-12-08 14:00:17,Normal Check,,2,,
48,2022-12-08 16:00:17,Overall Assessment,,,,
48,2022-12-08 18:00:17,Inform Customer,,,,
49,2022-12-13 09:50:40,Customer applies for loan,,,,
49,2022-12-13 11:50:40,Check application data,23889,,,1534
49,2022-12-13 13:50:40,Normal Check,,0,,
49,2022-12-13 15:50:40,Overall Assessment,,,,
49,2022-12-13 17:50:40,Inform Customer,,,,
50,2022-11-30 16:49:51,Customer applies for loan,,,,
50,2022-11-30 18:49:51,Check application data,36845,,,8295
50,2022-11-30 20:49:51,Normal Check,,0,,
50,2022-11-30 22:49:51,Overall Assessment,,,,
50,2022-12-01 00:49:51,Inform Customer,,,,
51,2022-12-01 13:46:27,Customer applies for loan,,,,
51,2022-12-01 15:46:27,Check application data,89811,,,4742
51,2022-12-01 17:46:27,Extensive Check,,2,,
51,2022-12-01 19:46:27,Overall Assessment,,,,
51,2022-12-01 21:46:27,Inform Customer,,,,
52,2022-12-08 16:20:40,Customer applies for loan,,,,
52,2022-12-08 18:20:40,Check application data,59004,,,3615
52,2022-12-08 20:20:40,Normal Check,,1,,
52,2022-12-08 22:20:40,Overall Assessment,,,,
52,2022-12-09 00:20:40,Inform Customer,,,,
53,2022-11-28 17:51:42,Customer applies for loan,,,,
53,2022-11-28 19:51:42,Check application data,33611,,,8097
53,2022-11-28 21:51:42,Normal Check,,0,,
53,2022-11-28 23:51:42,Overall Assessment,,,,
53,2022-11-29 01:51:42,Inform Customer,,,,
54,2022-11-27 15:05:02,Customer applies for loan,,,,
54,2022-11-27 17:05:02,Check application data,37425,,,3405
54,2022-11-27 19:05:02,Normal Check,,3,,
54,2022-11-27 21:05:02,Overall Assessment,,,,
54,2022-11-27 23:05:02,Inform Customer,,,,
55,2022-12-14 12:53:58,Customer applies for loan,,,,
55,2022-12-14 14:53:58,Check application data,56817,,,2603
55,2022-12-14 16:53:58,Normal Check,,0,,
55,2022-12-14 18:53:58,Overall Assessment,,,,
55,2022-12-14 20:53:58,Inform Customer,,,,
56,2022-12-05 14:04:08,Customer applies for loan,,,,
56,2022-12-05 16:04:08,Check application data,81194,,,8865
56,2022-12-05 18:04:08,Extensive Check,,0,,
56,2022-12-05 20:04:08,Overall Assessment,,,,
56,2022-12-05 22:04:08,Inform Customer,,,,
57,2022-12-04 08:47:30,Customer applies for loan,,,,
57,2022-12-04 10:47:30,Check application data,51633,,,2819
57,2022-12-04 12:47:30,Normal Check,,0,,
57,2022-12-04 14:47:30,Overall Assessment,,,,
57,2022-12-04 16:47:30,Inform Customer,,,,
58,2022-12-07 18:54:08,Customer applies for loan,,,,
58,2022-12-07 20:54:08,Check application data,69967,,,6423
58,2022-12-07 22:54:08,Normal Check,,1,,
58,2022-12-08 00:54:08,Overall Assessment,,,,
58,2022-12-08 02:54:08,Inform Customer,,,,
59,2022-11-29 11:04:25,Customer applies for loan,,,,
59,2022-11-29 13:04:25,Check application data,77202,,,1259
59,2022-11-29 15:04:25,Normal Check,,0,,
59,2022-11-29 17:04:25,Overall Assessment,,,,
59,2022-11-29 19:04:25,Inform Customer,,,,
60,2022-11-29 15:14:31,Customer applies for loan,,,,
60,2022-11-29 17:14:31,Check application data,35447,,,6051
60,2022-11-29 19:14:31,Normal Check,,2,,
60,2022-11-29 21:14:31,Overall Assessment,,,,
60,2022-11-29 23:14:31,Inform Customer,,,,
61,2022-11-26 15:02:05,Customer applies for loan,,,,
61,2022-11-26 17:02:05,Check application data,84950,,,2600
61,2022-11-26 19:02:05,Extensive Check,,4,,
61,2022-11-26 21:02:05,Overall Assessment,,,,
61,2022-11-26 23:02:05,Inform Customer,,,,
62,2022-11-26 14:18:05,Customer applies for loan,,,,
62,2022-11-26 16:18:05,Check application data,65529,,,3400
62,2022-11-26 18:18:05,Normal Check,,2,,
62,2022-11-26 20:18:05,Overall Assessment,,,,
62,2022-11-26 22:18:05,Inform Customer,,,,
63,2022-12-03 10:16:14,Customer applies for loan,,,,
63,2022-12-03 12:16:14,Check application data,21487,,,3813
63,2022-12-03 14:16:14,Normal Check,,2,,
63,2022-12-03 16:16:14,Overall Assessment,,,,
63,2022-12-03 18:16:14,Inform Customer,,,,
64,2022-11-28 09:23:29,Customer applies for loan,,,,
64,2022-11-28 11:23:29,Check application data,45063,,,5668
64,2022-11-28 13:23:29,Normal Check,,4,,
64,2022-11-28 15:23:29,Overall Assessment,,,,
64,2022-11-28 17:23:29,Inform Customer,,,,
65,2022-12-11 13:41:09,Customer applies for loan,,,,
65,2022-12-11 15:41:09,Check application data,70976,,,6941
65,2022-12-11 17:41:09,Normal Check,,1,,
65,2022-12-11 19:41:09,Overall Assessment,,,,
65,2022-12-11 21:41:09,Inform Customer,,,,
66,2022-12-06 11:10:08,Customer applies for loan,,,,
66,2022-12-06 13:10:08,Check application data,83011,,,8936
66,2022-12-06 15:10:08,Extensive Check,,2,,
66,2022-12-06 17:10:08,Overall Assessment,,,,
66,2022-12-06 19:10:08,Inform Customer,,,,
67,2022-12-12 08:57:57,Customer applies for loan,,,,
67,2022-12-12 10:57:57,Check application data,62459,,,4047
67,2022-12-12 12:57:57,Normal Check,,4,,
67,2022-12-12 14:57:57,Overall Assessment,,,,
67,2022-12-12 16:57:57,Inform Customer,,,,
68,2022-11-29 17:50:25,Customer applies for loan,,,,
68,2022-11-29 19:50:25,Check application data,46269,,,1627
68,2022-11-29 21:50:25,Normal Check,,1,,
68,2022-11-29 23:50:25,Overall Assessment,,,,
68,2022-11-30 01:50:25,Inform Customer,,,,
69,2022-12-10 18:29:07,Customer applies for loan,,,,
69,2022-12-10 20:29:07,Check application data,59495,,,6125
69,2022-12-10 22:29:07,Normal Check,,2,,
69,2022-12-11 00:29:07,Overall Assessment,,,,
69,2022-12-11 02:29:07,Inform Customer,,,,
70,2022-11-29 14:13:15,Customer applies for loan,,,,
70,2022-11-29 16:13:15,Check application data,84842,,,5933
70,2022-11-29 18:13:15,Extensive Check,,1,,
70,2022-11-29 20:13:15,Overall Assessment,,,,
70,2022-11-29 22:13:15,Inform Customer,,,,
71,2022-12-06 13:20:02,Customer applies for loan,,,,
71,2022-12-06 15:20:02,Check application data,41620,,,8917
71,2022-12-06 17:20:02,Normal Check,,3,,
71,2022-12-06 19:20:02,Overall Assessment,,,,
71,2022-12-06 21:20:02,Inform Customer,,,,
72,2022-11-30 17:16:12,Customer applies for loan,,,,
72,2022-11-30 19:16:12,Check application data,74313,,,6665
72,2022-11-30 21:16:12,Normal Check,,0,,
72,2022-11-30 23:16:12,Overall Assessment,,,,
72,2022-12-01 01:16:12,Inform Customer,,,,
73,2022-11-30 14:49:07,Customer applies for loan,,,,
73,2022-11-30 16:49:07,Check application data,18273,,,9860
73,2022-11-30 18:49:07,Normal Check,,2,,
73,2022-11-30 20:49:07,Overall Assessment,,,,
73,2022-11-30 22:49:07,Inform Customer,,,,
74,2022-12-09 10:49:12,Customer applies for loan,,,,
74,2022-12-09 12:49:12,Check application data,13450,,,2271
74,2022-12-09 14:49:12,Normal Check,,3,,
74,2022-12-09 16:49:12,Overall Assessment,,,,
74,2022-12-09 18:49:12,Inform Customer,,,,
75,2022-12-03 11:24:06,Customer applies for loan,,,,
75,2022-12-03 13:24:06,Check application data,52509,,,5744
75,2022-12-03 15:24:06,Normal Check,,2,,
75,2022-12-03 17:24:06,Overall Assessment,,,,
75,2022-12-03 19:24:06,Inform Customer,,,,
76,2022-12-05 08:16:28,Customer applies for loan,,,,
76,2022-12-05 10:16:28,Check application data,47153,,,1364
76,2022-12-05 12:16:28,Normal Check,,3,,
76,2022-12-05 14:16:28,Overall Assessment,,,,
76,2022-12-05 16:16:28,Inform Customer,,,,
77,2022-12-05 09:14:33,Customer applies for loan,,,,
77,2022-12-05 11:14:33,Check application data,80174,,,4282
77,2022-12-05 13:14:33,Extensive Check,,2,,
77,2022-12-05 15:14:33,Overall Assessment,,,,
77,2022-12-05 17:14:33,Inform Customer,,,,
78,2022-11-28 14:29:14,Customer applies for loan,,,,
78,2022-11-28 16:29:14,Check application data,18231,,,3415
78,2022-11-28 18:29:14,Normal Check,,3,,
78,2022-11-28 20:29:14,Overall Assessment,,,,
78,2022-11-28 22:29:14,Inform Customer,,,,
79,2022-12-02 09:03:38,Customer applies for loan,,,,
79,2022-12-02 11:03:38,Check application data,74513,,,3358
79,2022-12-02 13:03:38,Normal Check,,1,,
79,2022-12-02 15:03:38,Overall Assessment,,,,
79,2022-12-02 17:03:38,Inform Customer,,,,
80,2022-12-14 17:19:22,Customer applies for loan,,,,
80,2022-12-14 19:19:22,Check application data,52554,,,2119
80,2022-12-14 21:19:22,Normal Check,,1,,
80,2022-12-14 23:19:22,Overall Assessment,,,,
80,2022-12-15 01:19:22,Inform Customer,,,,
81,2022-12-12 16:22:18,Customer applies for loan,,,,
81,2022-12-12 18:22:18,Check application data,61261,,,8755
81,2022-12-12 20:22:18,Normal Check,,0,,
81,2022-12-12 22:22:18,Overall Assessment,,,,
81,2022-12-13 00:22:18,Inform Customer,,,,
82,2022-12-11 18:57:34,Customer applies for loan,,,,
82,2022-12-11 20:57:34,Check application data,66338,,,7344
82,2022-12-11 22:57:34,Normal Check,,2,,
82,2022-12-12 00:57:34,Overall Assessment,,,,
82,2022-12-12 02:57:34,Inform Customer,,,,
83,2022-11-30 14:27:12,Customer applies for loan,,,,
83,2022-11-30 16:27:12,Check application data,34185,,,8058
83,2022-11-30 18:27:12,Normal Check,,2,,
83,2022-11-30 20:27:12,Overall Assessment,,,,
83,2022-11-30 22:27:12,Inform Customer,,,,
84,2022-12-11 17:56:02,Customer applies for loan,,,,
84,2022-12-11 19:56:02,Check application data,12797,,,9390
84,2022-12-11 21:56:02,Normal Check,,0,,
84,2022-12-11 23:56:02,Overall Assessment,,,,
84,2022-12-12 01:56:02,Inform Customer,,,,
85,2022-12-13 15:22:57,Customer applies for loan,,,,
85,2022-12-13 17:22:57,Check application data,13453,,,7523
85,2022-12-13 19:22:57,Normal Check,,3,,
85,2022-12-13 21:22:57,Overall Assessment,,,,
85,2022-12-13 23:22:57,Inform Customer,,,,
86,2022-12-10 10:20:14,Customer applies for loan,,,,
86,2022-12-10 12:20:14,Check application data,56801,,,8905
86,2022-12-10 14:20:14,Normal Check,,2,,
86,2022-12-10 16:20:14,Overall Assessment,,,,
86,2022-12-10 18:20:14,Inform Customer,,,,
87,2022-12-14 13:09:16,Customer applies for loan,,,,
87,2022-12-14 15:09:16,Check application data,67628,,,8986
87,2022-12-14 17:09:16,Normal Check,,0,,
87,2022-12-14 19:09:16,Overall Assessment,,,,
87,2022-12-14 21:09:16,Inform Customer,,,,
88,2022-12-10 15:46:47,Customer applies for loan,,,,
88,2022-12-10 17:46:47,Check application data,73680,,,4605
88,2022-12-10 19:46:47,Normal Check,,4,,
88,2022-12-10 21:46:47,Overall Assessment,,,,
88,2022-12-10 23:46:47,Inform Customer,,,,
89,2022-12-10 14:02:54,Customer applies for loan,,,,
89,2022-12-10 16:02:54,Check application data,38936,,,1721
89,2022-12-10 18:02:54,Normal Check,,4,,
89,2022-12-10 20:02:54,Overall Assessment,,,,
89,2022-12-10 22:02:54,Inform Customer,,,,
90,2022-12-04 13:20:41,Customer applies for loan,,,,
90,2022-12-04 15:20:41,Check application data,41883,,,6493
90,2022-12-04 17:20:41,Normal Check,,0,,
90,2022-12-04 19:20:41,Overall Assessment,,,,
90,2022-12-04 21:20:41,Inform Customer,,,,
91,2022-12-11 16:27:08,Customer applies for loan,,,,
91,2022-12-11 18:27:08,Check application data,20331,,,1817
91,2022-12-11 20:27:08,Normal Check,,0,,
91,2022-12-11 22:27:08,Overall Assessment,,,,
91,2022-12-12 00:27:08,Inform Customer,,,,
92,2022-11-26 11:36:19,Customer applies for loan,,,,
92,2022-11-26 13:36:19,Check application data,14614,,,9893
92,2022-11-26 15:36:19,Normal Check,,3,,
92,2022-11-26 17:36:19,Overall Assessment,,,,
92,2022-11-26 19:36:19,Inform Customer,,,,
93,2022-12-08 18:19:42,Customer applies for loan,,,,
93,2022-12-08 20:19:42,Check application data,78428,,,4597
93,2022-12-08 22:19:42,Normal Check,,2,,
93,2022-12-09 00:19:42,Overall Assessment,,,,
93,2022-12-09 02:19:42,Inform Customer,,,,
94,2022-12-05 12:51:19,Customer applies for loan,,,,
94,2022-12-05 14:51:19,Check application data,18215,,,2661
94,2022-12-05 16:51:19,Normal Check,,4,,
94,2022-12-05 18:51:19,Overall Assessment,,,,
94,2022-12-05 20:51:19,Inform Customer,,,,
95,2022-12-01 17:34:45,Customer applies for loan,,,,
95,2022-12-01 19:34:45,Check application data,10799,,,7933
95,2022-12-01 21:34:45,Normal Check,,0,,
95,2022-12-01 23:34:45,Overall Assessment,,,,
95,2022-12-02 01:34:45,Inform Customer,,,,
96,2022-11-27 11:57:31,Customer applies for loan,,,,
96,2022-11-27 13:57:31,Check application data,38365,,,5373
96,2022-11-27 15:57:31,Normal Check,,4,,
96,2022-11-27 17:57:31,Overall Assessment,,,,
96,2022-11-27 19:57:31,Inform Customer,,,,
97,2022-12-10 15:59:37,Customer applies for loan,,,,
97,2022-12-10 17:59:37,Check application data,46224,,,4482
97,2022-12-10 19:59:37,Normal Check,,4,,
97,2022-12-10 21:59:37,Overall Assessment,,,,
97,2022-12-10 23:59:37,Inform Customer,,,,
98,2022-12-13 13:40:48,Customer applies for loan,,,,
98,2022-12-13 15:40:48,Check application data,79350,,,6752
98,2022-12-13 17:40:48,Normal Check,,0,,
98,2022-12-13 19:40:48,Overall Assessment,,,,
98,2022-12-13 21:40:48,Inform Customer,,,,
99,2022-12-07 15:06:54,Customer applies for loan,,,,
99,2022-12-07 17:06:54,Check application data,40929,,,6393
99,2022-12-07 19:06:54,Normal Check,,1,,
99,2022-12-07 21:06:54,Overall Assessment,,,,
99,2022-12-07 23:06:54,Inform Customer,,,,
100,2022-12-02 18:09:18,Customer applies for loan,,,,
100,2022-12-02 20:09:18,Check application data,83549,,,3084
100,2022-12-02 22:09:18,Extensive Check,,4,,
100,2022-12-03 00:09:18,Overall Assessment,,,,
100,2022-12-03 02:09:18,Inform Customer,,,,
101,2022-12-10 08:51:19,Customer applies for loan,,,,
101,2022-12-10 10:51:19,Check application data,57686,,,3725
101,2022-12-10 12:51:19,Normal Check,,3,,
101,2022-12-10 14:51:19,Overall Assessment,,,,
101,2022-12-10 16:51:19,Inform Customer,,,,
102,2022-12-13 10:22:07,Customer applies for loan,,,,
102,2022-12-13 12:22:07,Check application data,92332,,,6897
102,2022-12-13 14:22:07,Extensive Check,,1,,
102,2022-12-13 16:22:07,Overall Assessment,,,,
102,2022-12-13 18:22:07,Inform Customer,,,,
103,2022-12-12 16:34:44,Customer applies for loan,,,,
103,2022-12-12 18:34:44,Check application data,73173,,,9449
103,2022-12-12 20:34:44,Normal Check,,1,,
103,2022-12-12 22:34:44,Overall Assessment,,,,
103,2022-12-13 00:34:44,Inform Customer,,,,
104,2022-12-10 13:42:17,Customer applies for loan,,,,
104,2022-12-10 15:42:17,Check application data,13603,,,9929
104,2022-12-10 17:42:17,Normal Check,,4,,
104,2022-12-10 19:42:17,Overall Assessment,,,,
104,2022-12-10 21:42:17,Inform Customer,,,,
