uuid,timestamp,event,amount_loan,risk_level,assessment
49,2022-12-06 16:24:58,Overall Assessment,,,False
49,2022-12-06 18:24:58,Inform Customer,,,
50,2022-12-03 13:28:50,Customer applies for loan,,,
50,2022-12-03 15:28:50,Check application data,47172,,
50,2022-12-03 17:28:50,Normal Check,,0,
50,2022-12-03 19:28:50,Overall Assessment,,,True
50,2022-12-03 21:28:50,Inform Customer,,,
51,2022-12-11 08:41:31,Customer applies for loan,,,
51,2022-12-11 10:41:31,Check application data,94205,,
51,2022-12-11 12:41:31,Extensive Check,,4,
51,2022-12-11 14:41:31,Overall Assessment,,,False
51,2022-12-11 16:41:31,Inform Customer,,,
52,2022-12-02 12:08:35,Customer applies for loan,,,
52,2022-12-02 14:08:35,Check application data,40271,,
52,2022-12-02 16:08:35,Normal Check,,3,
52,2022-12-02 18:08:35,Overall Assessment,,,True
52,2022-12-02 20:08:35,Inform Customer,,,
53,2022-11-27 08:48:18,Customer applies for loan,,,
53,2022-11-27 10:48:18,Check application data,56783,,
53,2022-11-27 12:48:18,Normal Check,,4,
53,2022-11-27 14:48:18,Overall Assessment,,,False
53,2022-11-27 16:48:18,Inform Customer,,,
54,2022-11-29 11:30:33,Customer applies for loan,,,
54,2022-11-29 13:30:33,Check application data,46269,,
54,2022-11-29 15:30:33,Normal Check,,1,
54,2022-11-29 17:30:33,Overall Assessment,,,True
54,2022-11-29 19:30:33,Inform Customer,,,
55,2022-11-26 09:52:26,Customer applies for loan,,,
55,2022-11-26 11:52:26,Check application data,81086,,
55,2022-11-26 13:52:26,Extensive Check,,1,
55,2022-11-26 15:52:26,Overall Assessment,,,False
55,2022-11-26 17:52:26,Inform Customer,,,
56,2022-11-29 15:25:41,Customer applies for loan,,,
56,2022-11-29 17:25:41,Check application data,60557,,
56,2022-11-29 19:25:41,Normal Check,,1,
56,2022-11-29 21:25:41,Overall Assessment,,,True
56,2022-11-29 23:25:41,Inform Customer,,,
57,2022-11-26 08:20:33,Customer applies for loan,,,
57,2022-11-26 10:20:33,Check application data,29695,,
57,2022-11-26 12:20:33,Normal Check,,0,
57,2022-11-26 14:20:33,Overall Assessment,,,True
57,2022-11-26 16:20:33,Inform Customer,,,
58,2022-12-02 14:17:42,Customer applies for loan,,,
58,2022-12-02 16:17:42,Check application data,99116,,
58,2022-12-02 18:17:42,Extensive Check,,3,
58,2022-12-02 20:17:42,Overall Assessment,,,False
58,2022-12-02 22:17:42,Inform Customer,,,
59,2022-12-04 08:37:57,Customer applies for loan,,,
59,2022-12-04 10:37:57,Check application data,94685,,
59,2022-12-04 12:37:57,Extensive Check,,1,
59,2022-12-04 14:37:57,Overall Assessment,,,False
59,2022-12-04 16:37:57,Inform Customer,,,
60,2022-12-01 09:14:20,Customer applies for loan,,,
60,2022-12-01 11:14:20,Check application data,42225,,
60,2022-12-01 13:14:20,Normal Check,,1,
60,2022-12-01 15:14:20,Overall Assessment,,,True
60,2022-12-01 17:14:20,Inform Customer,,,
61,2022-12-02 08:50:27,Customer applies for loan,,,
61,2022-12-02 10:50:27,Check application data,84229,,
61,2022-12-02 12:50:27,Extensive Check,,4,
61,2022-12-02 14:50:27,Overall Assessment,,,False
61,2022-12-02 16:50:27,Inform Customer,,,
62,2022-12-04 08:12:56,Customer applies for loan,,,
62,2022-12-04 10:12:56,Check application data,17438,,
62,2022-12-04 12:12:56,Normal Check,,3,
62,2022-12-04 14:12:56,Overall Assessment,,,True
62,2022-12-04 16:12:56,Inform Customer,,,
63,2022-12-08 09:22:10,Customer applies for loan,,,
63,2022-12-08 11:22:10,Check application data,32603,,
63,2022-12-08 13:22:10,Normal Check,,3,
63,2022-12-08 15:22:10,Overall Assessment,,,True
63,2022-12-08 17:22:10,Inform Customer,,,
64,2022-12-13 17:38:37,Customer applies for loan,,,
64,2022-12-13 19:38:37,Check application data,71138,,
64,2022-12-13 21:38:37,Normal Check,,4,
64,2022-12-13 23:38:37,Overall Assessment,,,False
64,2022-12-14 01:38:37,Inform Customer,,,
65,2022-12-07 18:02:00,Customer applies for loan,,,
65,2022-12-07 20:02:00,Check application data,59077,,
65,2022-12-07 22:02:00,Normal Check,,3,
65,2022-12-08 00:02:00,Overall Assessment,,,True
65,2022-12-08 02:02:00,Inform Customer,,,
66,2022-12-07 11:54:54,Customer applies for loan,,,
66,2022-12-07 13:54:54,Check application data,28321,,
66,2022-12-07 15:54:54,Normal Check,,3,
66,2022-12-07 17:54:54,Overall Assessment,,,True
66,2022-12-07 19:54:54,Inform Customer,,,
67,2022-12-09 09:45:09,Customer applies for loan,,,
67,2022-12-09 11:45:09,Check application data,93652,,
67,2022-12-09 13:45:09,Extensive Check,,4,
67,2022-12-09 15:45:09,Overall Assessment,,,False
67,2022-12-09 17:45:09,Inform Customer,,,
68,2022-12-04 11:30:41,Customer applies for loan,,,
68,2022-12-04 13:30:41,Check application data,17399,,
68,2022-12-04 15:30:41,Normal Check,,4,
68,2022-12-04 17:30:41,Overall Assessment,,,False
68,2022-12-04 19:30:41,Inform Customer,,,
69,2022-12-04 11:21:29,Customer applies for loan,,,
69,2022-12-04 13:21:29,Check application data,77541,,
69,2022-12-04 15:21:29,Normal Check,,1,
69,2022-12-04 17:21:29,Overall Assessment,,,True
69,2022-12-04 19:21:29,Inform Customer,,,
70,2022-12-13 15:22:17,Customer applies for loan,,,
70,2022-12-13 17:22:17,Check application data,60978,,
70,2022-12-13 19:22:17,Normal Check,,4,
70,2022-12-13 21:22:17,Overall Assessment,,,False
70,2022-12-13 23:22:17,Inform Customer,,,
71,2022-12-03 10:32:52,Customer applies for loan,,,
71,2022-12-03 12:32:52,Check application data,73490,,
71,2022-12-03 14:32:52,Normal Check,,3,
71,2022-12-03 16:32:52,Overall Assessment,,,True
71,2022-12-03 18:32:52,Inform Customer,,,
72,2022-12-09 11:01:26,Customer applies for loan,,,
72,2022-12-09 13:01:26,Check application data,25143,,
72,2022-12-09 15:01:26,Normal Check,,2,
72,2022-12-09 17:01:26,Overall Assessment,,,True
72,2022-12-09 19:01:26,Inform Customer,,,
73,2022-12-10 09:52:39,Customer applies for loan,,,
73,2022-12-10 11:52:39,Check application data,15977,,
73,2022-12-10 13:52:39,Normal Check,,2,
73,2022-12-10 15:52:39,Overall Assessment,,,True
73,2022-12-10 17:52:39,Inform Customer,,,
74,2022-12-10 12:01:51,Customer applies for loan,,,
74,2022-12-10 14:01:51,Check application data,89187,,
74,2022-12-10 16:01:51,Extensive Check,,2,
74,2022-12-10 18:01:51,Overall Assessment,,,False
74,2022-12-10 20:01:51,Inform Customer,,,
75,2022-11-29 16:28:20,Customer applies for loan,,,
75,2022-11-29 18:28:20,Check application data,44287,,
75,2022-11-29 20:28:20,Normal Check,,2,
75,2022-11-29 22:28:20,Overall Assessment,,,True
75,2022-11-30 00:28:20,Inform Customer,,,
76,2022-12-14 12:23:04,Customer applies for loan,,,
76,2022-12-14 14:23:04,Check application data,29028,,
76,2022-12-14 16:23:04,Normal Check,,2,
76,2022-12-14 18:23:04,Overall Assessment,,,True
76,2022-12-14 20:23:04,Inform Customer,,,
77,2022-12-13 13:13:23,Customer applies for loan,,,
77,2022-12-13 15:13:23,Check application data,45211,,
77,2022-12-13 17:13:23,Normal Check,,4,
77,2022-12-13 19:13:23,Overall Assessment,,,False
77,2022-12-13 21:13:23,Inform Customer,,,
78,2022-12-08 17:18:27,Customer applies for loan,,,
78,2022-12-08 19:18:27,Check application data,66782,,
78,2022-12-08 21:18:27,Normal Check,,4,
78,2022-12-08 23:18:27,Overall Assessment,,,False
78,2022-12-09 01:18:27,Inform Customer,,,
79,2022-12-10 13:45:20,Customer applies for loan,,,
79,2022-12-10 15:45:20,Check application data,58325,,
79,2022-12-10 17:45:20,Normal Check,,2,
79,2022-12-10 19:45:20,Overall Assessment,,,True
79,2022-12-10 21:45:20,Inform Customer,,,
80,2022-11-29 14:29:48,Customer applies for loan,,,
80,2022-11-29 16:29:48,Check application data,65264,,
80,2022-11-29 18:29:48,Normal Check,,1,
80,2022-11-29 20:29:48,Overall Assessment,,,True
80,2022-11-29 22:29:48,Inform Customer,,,
81,2022-12-07 16:08:55,Customer applies for loan,,,
81,2022-12-07 18:08:55,Check application data,63863,,
81,2022-12-07 20:08:55,Normal Check,,3,
81,2022-12-07 22:08:55,Overall Assessment,,,True
81,2022-12-08 00:08:55,Inform Customer,,,
82,2022-12-03 17:21:04,Customer applies for loan,,,
82,2022-12-03 19:21:04,Check application data,94636,,
82,2022-12-03 21:21:04,Extensive Check,,4,
82,2022-12-03 23:21:04,Overall Assessment,,,False
82,2022-12-04 01:21:04,Inform Customer,,,
83,2022-11-30 10:54:18,Customer applies for loan,,,
83,2022-11-30 12:54:18,Check application data,52090,,
83,2022-11-30 14:54:18,Normal Check,,2,
83,2022-11-30 16:54:18,Overall Assessment,,,True
83,2022-11-30 18:54:18,Inform Customer,,,
84,2022-12-11 14:38:37,Customer applies for loan,,,
84,2022-12-11 16:38:37,Check application data,57590,,
84,2022-12-11 18:38:37,Normal Check,,2,
84,2022-12-11 20:38:37,Overall Assessment,,,True
84,2022-12-11 22:38:37,Inform Customer,,,
85,2022-11-26 09:46:49,Customer applies for loan,,,
85,2022-11-26 11:46:49,Check application data,36534,,
85,2022-11-26 13:46:49,Normal Check,,3,
85,2022-11-26 15:46:49,Overall Assessment,,,True
85,2022-11-26 17:46:49,Inform Customer,,,
86,2022-12-15 13:09:54,Customer applies for loan,,,
86,2022-12-15 15:09:54,Check application data,85791,,
86,2022-12-15 17:09:54,Extensive Check,,1,
86,2022-12-15 19:09:54,Overall Assessment,,,False
86,2022-12-15 21:09:54,Inform Customer,,,
87,2022-12-07 13:51:24,Customer applies for loan,,,
87,2022-12-07 15:51:24,Check application data,93524,,
87,2022-12-07 17:51:24,Extensive Check,,4,
87,2022-12-07 19:51:24,Overall Assessment,,,False
87,2022-12-07 21:51:24,Inform Customer,,,
88,2022-12-15 09:31:08,Customer applies for loan,,,
88,2022-12-15 11:31:08,Check application data,12770,,
88,2022-12-15 13:31:08,Normal Check,,3,
88,2022-12-15 15:31:08,Overall Assessment,,,True
88,2022-12-15 17:31:08,Inform Customer,,,
89,2022-11-30 15:04:41,Customer applies for loan,,,
89,2022-11-30 17:04:41,Check application data,92116,,
89,2022-11-30 19:04:41,Extensive Check,,0,
89,2022-11-30 21:04:41,Overall Assessment,,,True
89,2022-11-30 23:04:41,Inform Customer,,,
90,2022-12-08 16:33:41,Customer applies for loan,,,
90,2022-12-08 18:33:41,Check application data,27026,,
90,2022-12-08 20:33:41,Normal Check,,1,
90,2022-12-08 22:33:41,Overall Assessment,,,True
90,2022-12-09 00:33:41,Inform Customer,,,
91,2022-12-10 09:31:25,Customer applies for loan,,,
91,2022-12-10 11:31:25,Check application data,34200,,
91,2022-12-10 13:31:25,Normal Check,,3,
91,2022-12-10 15:31:25,Overall Assessment,,,True
91,2022-12-10 17:31:25,Inform Customer,,,
92,2022-12-11 11:36:00,Customer applies for loan,,,
92,2022-12-11 13:36:00,Check application data,15107,,
92,2022-12-11 15:36:00,Normal Check,,4,
92,2022-12-11 17:36:00,Overall Assessment,,,False
92,2022-12-11 19:36:00,Inform Customer,,,
93,2022-12-03 08:11:51,Customer applies for loan,,,
93,2022-12-03 10:11:51,Check application data,33720,,
93,2022-12-03 12:11:51,Normal Check,,0,
93,2022-12-03 14:11:51,Overall Assessment,,,True
93,2022-12-03 16:11:51,Inform Customer,,,
94,2022-11-27 10:56:51,Customer applies for loan,,,
94,2022-11-27 12:56:51,Check application data,41508,,
94,2022-11-27 14:56:51,Normal Check,,4,
94,2022-11-27 16:56:51,Overall Assessment,,,False
94,2022-11-27 18:56:51,Inform Customer,,,
95,2022-12-03 10:32:36,Customer applies for loan,,,
95,2022-12-03 12:32:36,Check application data,21511,,
95,2022-12-03 14:32:36,Normal Check,,4,
95,2022-12-03 16:32:36,Overall Assessment,,,False
95,2022-12-03 18:32:36,Inform Customer,,,
96,2022-11-30 14:09:14,Customer applies for loan,,,
96,2022-11-30 16:09:14,Check application data,74269,,
96,2022-11-30 18:09:14,Normal Check,,2,
96,2022-11-30 20:09:14,Overall Assessment,,,True
96,2022-11-30 22:09:14,Inform Customer,,,
97,2022-12-09 14:14:38,Customer applies for loan,,,
97,2022-12-09 16:14:38,Check application data,60927,,
97,2022-12-09 18:14:38,Normal Check,,2,
97,2022-12-09 20:14:38,Overall Assessment,,,True
97,2022-12-09 22:14:38,Inform Customer,,,
98,2022-12-03 09:42:09,Customer applies for loan,,,
98,2022-12-03 11:42:09,Check application data,34836,,
98,2022-12-03 13:42:09,Normal Check,,0,
98,2022-12-03 15:42:09,Overall Assessment,,,True
98,2022-12-03 17:42:09,Inform Customer,,,
99,2022-12-07 16:31:42,Customer applies for loan,,,
99,2022-12-07 18:31:42,Check application data,36929,,
99,2022-12-07 20:31:42,Normal Check,,1,
99,2022-12-07 22:31:42,Overall Assessment,,,True
99,2022-12-08 00:31:42,Inform Customer,,,
100,2022-11-28 08:18:19,Customer applies for loan,,,
100,2022-11-28 10:18:19,Check application data,10514,,
100,2022-11-28 12:18:19,Normal Check,,1,
100,2022-11-28 14:18:19,Overall Assessment,,,True
100,2022-11-28 16:18:19,Inform Customer,,,
101,2022-12-12 16:05:28,Customer applies for loan,,,
101,2022-12-12 18:05:28,Check application data,87057,,
101,2022-12-12 20:05:28,Extensive Check,,1,
101,2022-12-12 22:05:28,Overall Assessment,,,False
101,2022-12-13 00:05:28,Inform Customer,,,
102,2022-12-01 16:45:11,Customer applies for loan,,,
102,2022-12-01 18:45:11,Check application data,86927,,
102,2022-12-01 20:45:11,Extensive Check,,1,
102,2022-12-01 22:45:11,Overall Assessment,,,False
102,2022-12-02 00:45:11,Inform Customer,,,
103,2022-12-14 17:08:05,Customer applies for loan,,,
103,2022-12-14 19:08:05,Check application data,49687,,
103,2022-12-14 21:08:05,Normal Check,,4,
103,2022-12-14 23:08:05,Overall Assessment,,,False
103,2022-12-15 01:08:05,Inform Customer,,,
104,2022-12-10 11:14:33,Customer applies for loan,,,
104,2022-12-10 13:14:33,Check application data,25471,,
104,2022-12-10 15:14:33,Normal Check,,1,
104,2022-12-10 17:14:33,Overall Assessment,,,True
104,2022-12-10 19:14:33,Inform Customer,,,
105,2022-12-11 11:19:26,Customer applies for loan,,,
105,2022-12-11 13:19:26,Check application data,30112,,
105,2022-12-11 15:19:26,Normal Check,,0,
105,2022-12-11 17:19:26,Overall Assessment,,,True
105,2022-12-11 19:19:26,Inform Customer,,,
106,2022-12-10 18:37:00,Customer applies for loan,,,
106,2022-12-10 20:37:00,Check application data,36270,,
106,2022-12-10 22:37:00,Normal Check,,1,
106,2022-12-11 00:37:00,Overall Assessment,,,True
106,2022-12-11 02:37:00,Inform Customer,,,
107,2022-12-09 18:30:01,Customer applies for loan,,,
107,2022-12-09 20:30:01,Check application data,72987,,
107,2022-12-09 22:30:01,Normal Check,,3,
107,2022-12-10 00:30:01,Overall Assessment,,,True
107,2022-12-10 02:30:01,Inform Customer,,,
108,2022-11-26 14:01:16,Customer applies for loan,,,
108,2022-11-26 16:01:16,Check application data,53952,,
108,2022-11-26 18:01:16,Normal Check,,2,
108,2022-11-26 20:01:16,Overall Assessment,,,True
108,2022-11-26 22:01:16,Inform Customer,,,
109,2022-12-03 17:46:02,Customer applies for loan,,,
109,2022-12-03 19:46:02,Check application data,81811,,
109,2022-12-03 21:46:02,Extensive Check,,2,
109,2022-12-03 23:46:02,Overall Assessment,,,False
